wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2782904;4777;1298871;2579;t02
kujawsko-pomorskie;1857507;4823;862198;2440;t04
lubelskie;1582972;1994;738976;967;t06
lubuskie;939582;2769;440256;1037;t08
³ódzkie;2268739;4234;1064391;2237;t10
ma³opolskie;2928691;8702;1362148;4649;t12
mazowieckie;5390976;9679;2520822;5267;t14
opolskie;821260;1688;387802;835;t16
podkarpackie;1471307;2590;689101;1129;t18
podlaskie;983097;620;464037;215;t20
pomorskie;2261007;6304;1063491;2908;t22
œl¹skie;4145568;8612;1935271;4261;t24
œwiêtokrzyskie;980261;2408;454018;1346;t26
warmiñsko-mazurskie;1166895;1978;545454;1415;t28
wielkopolskie;3262927;9738;1534191;6504;t30
zachodniopomorskie;1586238;3289;736869;1508;t32
ca³y kraj;34429956;74205;16097896;39297;t00
