wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;11;0;3;0;t0;4;0;0;0;4;0
dolnoœl¹skie;4331665;726;1557113;84;t02;1798851;75;16915;0;958786;567
kujawsko-pomorskie;2929518;390;1052485;61;t04;1219547;30;12036;1;645450;298
lubelskie;2488145;349;915506;46;t06;1054487;38;13484;0;504668;265
lubuskie;1508389;238;538946;44;t08;645018;34;5382;1;319043;159
³ódzkie;3527230;424;1290877;68;t10;1465599;37;18768;2;751986;317
ma³opolskie;4520985;846;1660601;90;t12;1899099;66;14129;7;947156;683
mazowieckie;8589822;1610;3104384;211;t14;3555513;197;40644;3;1889281;1199
opolskie;1262337;116;464316;11;t16;529761;10;5024;0;263236;95
podkarpackie;2214380;310;834049;61;t18;969209;39;8410;0;402712;210
podlaskie;1513801;179;564598;38;t20;650728;19;6091;0;292384;122
pomorskie;3593291;701;1299099;93;t22;1491517;58;14909;17;787766;533
œl¹skie;6386845;1125;2308337;157;t24;2656406;106;20659;21;1401443;841
œwiêtokrzyskie;1534248;145;561089;21;t26;649908;14;6250;1;317001;109
warmiñsko-mazurskie;1883007;272;683632;48;t28;785876;21;10514;7;402985;196
wielkopolskie;5266555;755;1918748;86;t30;2191541;59;20339;15;1135927;595
zachodniopomorskie;2518618;368;898024;46;t32;1059153;42;10611;2;550830;278
ca³y kraj;54068847;8554;19651807;1165;t00;22622217;845;224165;77;11570658;6467
