wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;15393;1034;1591;173;
dolnośląskie;801253;24117;205315;6241;t02
kujawsko-pomorskie;474894;14495;116392;3928;t04
lubelskie;526364;15541;144357;4865;t06
lubuskie;249970;7649;61405;2274;t08
łódzkie;622977;17642;161624;4700;t10
małopolskie;770744;22459;192517;5595;t12
mazowieckie;1479740;39226;375339;10829;t14
opolskie;230015;7100;62671;1985;t16
podkarpackie;488731;12492;129075;3907;t18
podlaskie;310932;8707;83983;2771;t20
pomorskie;609269;16905;163514;4462;t22
śląskie;1066269;31579;258413;7336;t24
świętokrzyskie;267273;8673;68201;1828;t26
warmińsko-mazurskie;336797;8975;85175;2839;t28
wielkopolskie;820887;23827;204782;6085;t30
zachodniopomorskie;423809;13252;101639;2875;t32
cały kraj;9495317;273673;2415993;72693;t00
