wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2785865;2073;1299364;398;t02
kujawsko-pomorskie;1859085;1514;862703;500;t04
lubelskie;1584016;1007;739009;15;t06
lubuskie;941031;1424;440416;169;t08
³ódzkie;2270583;1667;1064927;443;t10
ma³opolskie;2932051;3261;1363044;859;t12
mazowieckie;5395698;4334;2522440;1639;t14
opolskie;822619;1296;387859;28;t16
podkarpackie;1471899;503;689188;83;t18
podlaskie;984010;856;464109;36;t20
pomorskie;2263170;1870;1063853;209;t22
œl¹skie;4149636;3549;1936690;1142;t24
œwiêtokrzyskie;981432;1102;454380;309;t26
warmiñsko-mazurskie;1168171;1230;545831;379;t28
wielkopolskie;3266880;3409;1535562;1044;t30
zachodniopomorskie;1587565;841;737285;143;t32
ca³y kraj;34463736;29936;16106660;7396;t00
