wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;10;0;3;0;t0
dolnoœl¹skie;3248631;638;1428037;57;t02
kujawsko-pomorskie;2181015;368;960080;16;t04
lubelskie;1909878;645;832318;51;t06
lubuskie;1124429;367;488741;11;t08
³ódzkie;2662209;556;1183682;43;t10
ma³opolskie;3422362;1084;1522087;95;t12
mazowieckie;6389143;2178;2819435;193;t14
opolskie;948119;264;422928;38;t16
podkarpackie;1742673;338;768488;12;t18
podlaskie;1170542;295;515473;33;t20
pomorskie;2675822;1037;1181927;65;t22
œl¹skie;4799810;1361;2128032;63;t24
œwiêtokrzyskie;1164329;321;515147;16;t26
warmiñsko-mazurskie;1398816;110;616788;0;t28
wielkopolskie;3866230;1078;1731164;91;t30
zachodniopomorskie;1883672;483;821905;48;t32
ca³y kraj;40587690;11123;17936235;832;t00
