wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2893142;4175;1352613;2362;t02
kujawsko-pomorskie;1942661;2714;903889;1338;t04
lubelskie;1657122;3352;773412;1730;t06
lubuskie;985913;1685;459788;855;t08
³ódzkie;2368414;4143;1114361;2285;t10
ma³opolskie;3063532;4659;1431929;2467;t12
mazowieckie;5623354;9796;2640108;5141;t14
opolskie;851728;1162;401886;522;t16
podkarpackie;1542947;2677;721214;1352;t18
podlaskie;1026767;1685;483118;817;t20
pomorskie;2364487;4348;1112402;2077;t22
œl¹skie;4309719;5726;2016031;2902;t24
œwiêtokrzyskie;1032905;2028;479835;1038;t26
warmiñsko-mazurskie;1229038;2739;574058;1425;t28
wielkopolskie;3429211;5803;1620768;3111;t30
zachodniopomorskie;1661455;2722;772437;1229;t32
ca³y kraj;35982397;59416;16857849;30651;t00
