wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;13;0;0;0;t0;6;0;0;0;7;0
dolnoœl¹skie;4262300;3591;1541480;899;t02;1791730;368;16477;63;912613;2261
kujawsko-pomorskie;2888906;2397;1042292;689;t04;1215347;196;11793;6;619474;1506
lubelskie;2459378;2154;907988;568;t06;1050870;232;13239;29;487281;1325
lubuskie;1486551;1110;533343;380;t08;642531;117;5266;1;305411;612
³ódzkie;3479690;2892;1278284;769;t10;1460555;333;18360;38;722491;1752
ma³opolskie;4442909;3539;1645608;881;t12;1891637;320;13711;65;891953;2273
mazowieckie;8453194;6578;3074667;1856;t14;3538127;772;39459;33;1800941;3917
opolskie;1243861;927;459533;239;t16;527528;76;4934;4;251866;608
podkarpackie;2189528;1596;827978;380;t18;965942;233;8223;7;387385;976
podlaskie;1496465;1143;560265;303;t20;648136;132;5896;11;282168;697
pomorskie;3530594;2994;1284108;756;t22;1484750;344;14527;6;747209;1888
œl¹skie;6283678;4760;2285682;1215;t24;2646210;502;19927;21;1331859;3022
œwiêtokrzyskie;1515602;1615;556202;469;t26;647729;150;6267;10;305404;986
warmiñsko-mazurskie;1854147;2016;675825;617;t28;782713;205;10318;20;385291;1174
wielkopolskie;5160597;4599;1898249;1421;t30;2160317;387;19806;19;1082225;2772
zachodniopomorskie;2482461;2026;889477;612;t32;1055134;199;10421;12;527429;1203
ca³y kraj;53229874;43937;19460981;12054;t00;22509262;4566;218624;345;11041007;26972
