wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2242225;32809;901943;25175;t02
kujawsko-pomorskie;1440246;20495;556677;14459;t04
lubelskie;1305981;16909;545011;12451;t06
lubuskie;758052;10767;311510;8254;t08
³ódzkie;1817951;25993;735601;19888;t10
ma³opolskie;2268064;32500;881151;23568;t12
mazowieckie;4252170;56295;1671077;40638;t14
opolskie;692797;8750;296052;7119;t16
podkarpackie;1262652;12900;555520;10226;t18
podlaskie;844547;8834;370570;6689;t20
pomorskie;1828707;23353;760648;15929;t22
œl¹skie;3320625;47555;1328603;35444;t24
œwiêtokrzyskie;774737;11848;309494;8798;t26
warmiñsko-mazurskie;911641;13854;364407;9339;t28
wielkopolskie;2464354;38536;948386;25546;t30
zachodniopomorskie;1283104;15167;521694;11530;t32
ca³y kraj;27467853;376565;11058344;275053;t00
