wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnoœl¹skie;boles³awiecki;67749;178;30563;90;t0201
dolnoœl¹skie;dzier¿oniowski;63792;314;30000;274;t0202
dolnoœl¹skie;g³ogowski;59303;292;26794;89;t0203
dolnoœl¹skie;górowski;25271;60;11396;22;t0204
dolnoœl¹skie;jaworski;36851;129;16556;63;t0205
dolnoœl¹skie;jeleniogórski;48255;179;22530;113;t0206
dolnoœl¹skie;kamiennogórski;28883;173;13457;68;t0207
dolnoœl¹skie;k³odzki;119323;543;55579;337;t0208
dolnoœl¹skie;legnicki;41347;196;18473;129;t0209
dolnoœl¹skie;lubañski;27475;325;11485;223;t0210
dolnoœl¹skie;lubiñski;118482;287;56586;189;t0211
dolnoœl¹skie;lwówecki;38426;138;17762;55;t0212
dolnoœl¹skie;milicki;31750;210;14819;116;t0213
dolnoœl¹skie;oleœnicki;86887;443;39135;179;t0214
dolnoœl¹skie;o³awski;43511;215;20950;209;t0215
dolnoœl¹skie;polkowicki;39145;247;16989;103;t0216
dolnoœl¹skie;strzeliñski;35050;214;16265;193;t0217
dolnoœl¹skie;œredzki;20587;122;9722;75;t0218
dolnoœl¹skie;œwidnicki;93282;381;42876;286;t0219
dolnoœl¹skie;trzebnicki;55627;271;26389;172;t0220
dolnoœl¹skie;wa³brzyski;29998;88;14154;52;t0221
dolnoœl¹skie;wo³owski;39636;122;17736;57;t0222
dolnoœl¹skie;wroc³awski;97620;297;46265;213;t0223
dolnoœl¹skie;z¹bkowicki;51505;271;24209;169;t0224
dolnoœl¹skie;zgorzelecki;53744;190;24459;97;t0225
dolnoœl¹skie;z³otoryjski;32339;270;14395;222;t0226
dolnoœl¹skie;Jelenia Góra;83995;331;40237;230;t0261
dolnoœl¹skie;Legnica;84110;362;39509;194;t0262
dolnoœl¹skie;Wroc³aw;1002924;2574;471446;1639;t0264
dolnoœl¹skie;Wa³brzych;202421;157;94648;96;t0265
kujawsko-pomorskie;aleksandrowski;127987;230;60851;101;t0401
kujawsko-pomorskie;brodnicki;66342;515;30726;261;t0402
kujawsko-pomorskie;bydgoski;72385;374;33636;305;t0403
kujawsko-pomorskie;che³miñski;38577;224;17985;147;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;33266;120;15180;24;t0405
kujawsko-pomorskie;grudzi¹dzki;23873;151;10640;104;t0406
kujawsko-pomorskie;inowroc³awski;99160;359;47000;313;t0407
kujawsko-pomorskie;lipnowski;48674;190;21848;134;t0408
kujawsko-pomorskie;mogileñski;28619;300;13323;215;t0409
kujawsko-pomorskie;nakielski;77283;401;34832;244;t0410
kujawsko-pomorskie;radziejowski;41909;186;19110;158;t0411
kujawsko-pomorskie;rypiñski;32192;250;14620;121;t0412
kujawsko-pomorskie;sêpoleñski;46076;59;21521;43;t0413
kujawsko-pomorskie;œwiecki;71227;528;32577;256;t0414
kujawsko-pomorskie;toruñski;67666;285;29391;226;t0415
kujawsko-pomorskie;tucholski;36139;173;16624;83;t0416
kujawsko-pomorskie;w¹brzeski;25293;58;11190;23;t0417
kujawsko-pomorskie;w³oc³awski;60400;368;28359;278;t0418
kujawsko-pomorskie;¿niñski;49496;47;23049;41;t0419
kujawsko-pomorskie;Bydgoszcz;408924;1370;192454;852;t0461
kujawsko-pomorskie;Grudzi¹dz;115915;459;53649;258;t0462
kujawsko-pomorskie;Toruñ;178575;971;82842;709;t0463
kujawsko-pomorskie;W³oc³awek;87355;333;39576;213;t0464
lubelskie;bialski;57607;234;26381;121;t0601
lubelskie;bi³gorajski;50206;288;23847;202;t0602
lubelskie;che³mski;34339;100;16104;81;t0603
lubelskie;hrubieszowski;41029;189;18603;125;t0604
lubelskie;janowski;28134;194;13047;58;t0605
