wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2132896;27092;816245;19296;t02
kujawsko-pomorskie;1370119;16209;509005;10004;t04
lubelskie;1258805;13349;509876;8887;t06
lubuskie;722826;7289;284835;5261;t08
³ódzkie;1736446;21898;677678;15720;t10
ma³opolskie;2162129;28787;810296;17091;t12
mazowieckie;4042910;43260;1525751;29228;t14
opolskie;662751;8593;272243;7112;t16
podkarpackie;1216875;12746;518346;10130;t18
podlaskie;817337;6991;349880;5411;t20
pomorskie;1746079;23103;700567;16125;t22
œl¹skie;3165563;37760;1217633;26386;t24
œwiêtokrzyskie;740072;9487;284618;6684;t26
warmiñsko-mazurskie;868890;8642;335965;5564;t28
wielkopolskie;2334664;29714;866703;17261;t30
zachodniopomorskie;1228492;13119;481434;8859;t32
ca³y kraj;26206854;308039;10161075;209019;t00
