wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;13;0;1;0;t0;5;0;0;0;7;0
dolnoœl¹skie;4115420;12967;1507416;1575;t02;1773986;1435;15537;69;818481;9888
kujawsko-pomorskie;2782450;8762;1016563;1293;t04;1203030;1124;11602;26;551255;6319
lubelskie;2386861;7230;890837;1031;t06;1041977;882;12824;8;441223;5309
lubuskie;1435526;4593;521123;703;t08;635984;635;5046;15;273373;3240
³ódzkie;3366521;11120;1250932;1445;t10;1446672;1335;17639;60;651278;8280
ma³opolskie;4290093;13972;1609803;1987;t12;1875721;1771;12761;62;791808;10152
mazowieckie;8175777;26129;3006860;3609;t14;3503596;2856;38267;85;1627054;19579
opolskie;1204666;3241;449435;540;t16;522590;347;4550;19;228091;2335
podkarpackie;2133973;5002;813723;855;t18;958861;788;7700;81;353689;3278
podlaskie;1456353;3400;550356;524;t20;642515;438;5509;30;257973;2408
pomorskie;3402242;11758;1251521;1438;t22;1468364;1386;13914;60;668443;8874
œl¹skie;6079964;19157;2238363;2256;t24;2622363;2097;18923;53;1200315;14751
œwiêtokrzyskie;1463320;4606;544167;620;t26;641381;684;5915;28;271857;3274
warmiñsko-mazurskie;1778570;5620;658448;693;t28;772374;665;9747;12;338001;4250
wielkopolskie;4952956;17802;1847869;2350;t30;2136727;2353;19167;67;949193;13032
zachodniopomorskie;2401356;7437;870692;995;t32;1044909;933;10222;46;475533;5463
ca³y kraj;51426061;162796;19028109;21914;t00;22291055;19729;209323;721;9897574;120432
