wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;26832;675;3160;101;t0
dolnoœl¹skie;1125608;15115;290925;4289;t02
kujawsko-pomorskie;693485;12400;168713;2410;t04
lubelskie;721673;7001;201407;1865;t06
lubuskie;366667;7239;95439;1709;t08
³ódzkie;904195;16618;230851;3568;t10
ma³opolskie;1102773;23382;280411;4787;t12
mazowieckie;2067970;39377;541204;10576;t14
opolskie;349616;6928;87075;658;t16
podkarpackie;703481;15429;198619;6218;t18
podlaskie;448529;4848;118481;1254;t20
pomorskie;910461;18263;227358;3347;t22
œl¹skie;1575682;32950;373728;5819;t24
œwiêtokrzyskie;387933;6803;96799;1510;t26
warmiñsko-mazurskie;472191;5754;122935;1617;t28
wielkopolskie;1180704;20284;301926;7302;t30
zachodniopomorskie;632741;12487;146117;2914;t32
ca³y kraj;13670541;245553;3485148;59944;t00
