wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;35900;1745;6071;864;t0
dolnoœl¹skie;1268112;27863;343027;10147;t02
kujawsko-pomorskie;786470;16591;203049;6050;t04
lubelskie;808001;16314;237889;7315;t06
lubuskie;412797;9335;114278;4859;t08
³ódzkie;1033037;22640;276902;8859;t10
ma³opolskie;1251246;30848;337131;12032;t12
mazowieckie;2331515;50996;647676;21392;t14
opolskie;398652;9569;101264;2768;t16
podkarpackie;785432;16764;231453;7404;t18
podlaskie;511380;8432;140496;3762;t20
pomorskie;1035912;23113;268913;7809;t22
œl¹skie;1819080;50477;474594;23388;t24
œwiêtokrzyskie;439223;9141;114218;3312;t26
warmiñsko-mazurskie;528617;9491;145273;3928;t28
wielkopolskie;1342968;29588;358826;11241;t30
zachodniopomorskie;720671;16656;178597;6995;t32
ca³y kraj;15509013;349563;4179657;142125;t00
