wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;2;0;t0;6;0;0;0;0;0
dolnoœl¹skie;3754276;12762;1462894;1060;t02;1725220;2121;14679;31;551483;9550
kujawsko-pomorskie;2532380;8017;984575;813;t04;1168307;1641;10467;29;369031;5534
lubelskie;2198896;7567;867412;1008;t06;1016964;1275;12220;50;302300;5234
lubuskie;1314964;4415;504040;482;t08;617470;1007;4786;3;188668;2923
³ódzkie;3077513;9724;1215267;970;t10;1408101;1975;16367;36;437778;6743
ma³opolskie;3919816;14233;1561983;1477;t12;1827363;2719;11309;19;519161;10018
mazowieckie;7445061;24302;2902502;2265;t14;3403924;4702;35770;60;1102865;17275
opolskie;1101083;4341;435567;551;t16;508153;571;3537;6;153826;3213
podkarpackie;1983845;6348;792481;946;t18;935943;1154;7020;27;248401;4221
podlaskie;1350261;4844;535556;712;t20;626785;722;4970;35;182950;3375
pomorskie;3101341;10288;1212167;984;t22;1421441;2491;12751;11;454982;6802
œl¹skie;5551499;17873;2177169;1537;t24;2552703;3405;16855;24;804772;12907
œwiêtokrzyskie;1338690;4566;529944;528;t26;624309;714;5505;8;178932;3316
warmiñsko-mazurskie;1616526;5898;637598;666;t28;747984;1111;9252;8;221692;4113
wielkopolskie;4475797;14380;1781666;1619;t30;2067480;2957;18182;30;608469;9774
zachodniopomorskie;2200365;7563;845104;759;t32;1016514;1329;9612;3;329135;5472
ca³y kraj;46962321;157121;18445927;16377;t00;21668667;29894;193282;380;6654445;110470
