wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;8;0;2;0;t0;6;0;0;0;0;0
dolnoœl¹skie;3688748;7251;1456231;775;t02;1714161;1640;15817;70;502539;4766
kujawsko-pomorskie;2489146;3692;979349;562;t04;1160576;938;10436;15;338785;2177
lubelskie;2163402;3620;861627;711;t06;1011116;695;12527;15;278132;2199
lubuskie;1291754;2545;500705;342;t08;613164;775;4871;2;173014;1426
³ódzkie;3026599;4282;1208950;569;t10;1399271;1087;17172;8;401206;2618
ma³opolskie;3852220;7644;1553641;1026;t12;1815331;1899;11699;20;471549;4699
mazowieckie;7310614;13409;2887582;1457;t14;3377766;3417;37033;40;1008233;8495
opolskie;1080236;1999;432624;253;t16;504671;390;3696;26;139245;1330
podkarpackie;1954030;3293;787153;590;t18;930513;817;7314;29;229050;1857
podlaskie;1327259;2865;531627;554;t20;622962;518;5187;17;167483;1776
pomorskie;3045482;6508;1206149;640;t22;1410203;1894;12861;16;416269;3958
œl¹skie;5455865;9803;2167175;1147;t24;2536525;2393;17319;16;734846;6247
œwiêtokrzyskie;1316663;2495;526825;374;t26;620862;519;5943;7;163033;1595
warmiñsko-mazurskie;1587630;3227;633563;455;t28;742304;803;9572;22;202191;1947
wielkopolskie;4395039;6860;1770523;1022;t30;2050905;1876;18920;22;554691;3940
zachodniopomorskie;2161927;4677;840653;568;t32;1009840;960;9941;6;301493;3143
ca³y kraj;46146622;84170;18344379;11045;t00;21520176;20621;200308;331;6081759;52173
