wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;36489;2;6144;0;t0
dolnoœl¹skie;1297818;9123;353081;1860;t02
kujawsko-pomorskie;801667;3370;207480;615;t04
lubelskie;817538;2046;241292;505;t06
lubuskie;423382;1133;118816;189;t08
³ódzkie;1053533;5127;284563;1511;t10
ma³opolskie;1284058;7729;349534;2878;t12
mazowieckie;2404933;20566;673206;6098;t14
opolskie;406826;1924;102391;67;t16
podkarpackie;805657;5660;240199;2345;t18
podlaskie;521066;1706;146133;1251;t20
pomorskie;1058697;2527;277507;789;t22
œl¹skie;1871801;12497;498651;4815;t24
œwiêtokrzyskie;446507;1006;117064;233;t26
warmiñsko-mazurskie;537458;1278;148899;503;t28
wielkopolskie;1371585;4358;369509;1177;t30
zachodniopomorskie;740452;5164;188176;3358;t32
ca³y kraj;15879467;85216;4322645;28194;t00
