wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;10;0;2;0;t0;8;0;0;0;0;0
dolnoœl¹skie;3473338;18437;1440659;1057;t02;1681375;2194;17107;164;334197;15022
kujawsko-pomorskie;2345106;13062;968303;660;t04;1137319;1566;11787;148;227697;10688
lubelskie;2047284;12399;847164;1353;t06;993798;1588;14703;162;191619;9296
lubuskie;1217214;7338;493917;388;t08;598522;1123;5230;82;119545;5745
³ódzkie;2852980;17050;1195175;954;t10;1373095;1846;18634;88;266076;14162
ma³opolskie;3646743;17704;1535372;1059;t12;1779195;2254;12541;74;319635;14317
mazowieckie;6881483;36608;2851175;2705;t14;3301742;4341;40642;365;687924;29197
opolskie;1015223;5256;426673;276;t16;494127;701;3926;34;90497;4245
podkarpackie;1857184;9354;776584;754;t18;912944;1513;7983;81;159673;7006
podlaskie;1256681;6658;522889;648;t20;611308;1101;5470;70;117014;4839
pomorskie;2861461;15006;1192610;820;t22;1379444;1871;14086;185;275321;12130
œl¹skie;5154809;26414;2145263;1141;t24;2492041;2798;19936;66;497569;22409
œwiêtokrzyskie;1244356;7278;520110;551;t26;610037;927;6416;38;107793;5762
warmiñsko-mazurskie;1492665;7774;624362;538;t28;725938;1029;9651;84;132714;6123
wielkopolskie;4145439;22762;1747770;1420;t30;2001237;3190;20999;155;375433;17997
zachodniopomorskie;2032519;11542;830331;685;t32;989088;1448;10757;146;202343;9263
ca³y kraj;43524495;234642;18118359;15009;t00;21081218;29490;219868;1942;4105050;188201
