wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2594099;16200;1169618;13370;t02
kujawsko-pomorskie;1702456;14922;754632;13001;t04
lubelskie;1480442;8936;674666;7167;t06
lubuskie;875428;5545;400365;4576;t08
³ódzkie;2100697;13673;950659;11372;t10
ma³opolskie;2676689;18911;1187399;15018;t12
mazowieckie;5000736;31144;2249440;25329;t14
opolskie;777375;3708;359889;2948;t16
podkarpackie;1392625;5798;647444;3875;t18
podlaskie;934710;2863;435660;2124;t20
pomorskie;2090668;12229;947196;9578;t22
œl¹skie;3857104;21696;1738756;17466;t24
œwiêtokrzyskie;900492;5900;400425;4490;t26
warmiñsko-mazurskie;1066569;8191;477870;6548;t28
wielkopolskie;2941989;23406;1301194;19338;t30
zachodniopomorskie;1471467;8657;661025;6566;t32
ca³y kraj;31863546;201779;14356238;162766;t00
