wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;88;39;0;0;t0
dolnoœl¹skie;2565026;11796;1147224;9468;t02
kujawsko-pomorskie;1678621;12138;735338;9643;t04
lubelskie;1464167;5325;662489;4152;t06
lubuskie;864912;6152;392422;4694;t08
³ódzkie;2076552;12377;931845;9746;t10
ma³opolskie;2637645;26690;1157747;22218;t12
mazowieckie;4930746;35007;2193621;29725;t14
opolskie;771195;3838;355299;2833;t16
podkarpackie;1381747;5161;640664;3620;t18
podlaskie;927993;1856;431307;1526;t20
pomorskie;2066919;11749;929982;8998;t22
œl¹skie;3813752;26432;1705776;20667;t24
œwiêtokrzyskie;889328;6387;392372;5014;t26
warmiñsko-mazurskie;1051435;5630;466306;4543;t28
wielkopolskie;2893291;22210;1260765;19507;t30
zachodniopomorskie;1455165;9265;649357;7200;t32
ca³y kraj;31468582;202052;14052514;163554;t00
