wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
dolnoœl¹skie;2175741;15234;850267;13104;t02
kujawsko-pomorskie;1392584;7831;521908;6187;t04
lubelskie;1272196;6091;519546;4866;t06
lubuskie;736876;4507;295653;3825;t08
³ódzkie;1761417;8817;694899;7430;t10
ma³opolskie;2205989;14810;837457;11434;t12
mazowieckie;4127387;27808;1584412;22534;t14
opolskie;675638;5302;283080;4498;t16
podkarpackie;1236181;6273;534684;5623;t18
podlaskie;826185;3044;356381;2488;t20
pomorskie;1779754;14765;725854;12573;t22
œl¹skie;3219978;18294;1255896;15217;t24
œwiêtokrzyskie;751936;4180;292367;3486;t26
warmiñsko-mazurskie;882043;5425;345063;4819;t28
wielkopolskie;2374143;11961;888575;9282;t30
zachodniopomorskie;1247480;7004;495244;5656;t32
ca³y kraj;26665528;161346;10481286;133022;t00
