wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;846;0;359;0;t0;386;0;0;0;101;0
dolnoœl¹skie;4250401;3172;1538230;855;t02;1790438;319;16354;9;905379;1989
kujawsko-pomorskie;2881242;2164;1040072;844;t04;1214607;264;11765;2;614798;1054
lubelskie;2452905;1459;906218;394;t06;1050088;185;13192;14;483407;866
lubuskie;1482687;807;532102;220;t08;642108;99;5255;6;303222;482
³ódzkie;3470231;2290;1275522;707;t10;1459492;320;18264;17;716953;1246
ma³opolskie;4431916;3235;1642742;788;t12;1890609;268;13605;15;884960;2164
mazowieckie;8431989;5605;3068622;1621;t14;3535423;635;39370;43;1788574;3306
opolskie;1240501;806;458585;259;t16;527212;86;4899;1;249805;460
podkarpackie;2184415;1148;826716;309;t18;965241;140;8187;3;384271;696
podlaskie;1492508;642;559164;186;t20;647624;84;5869;15;279851;357
pomorskie;3521034;2825;1281536;749;t22;1483564;343;14454;2;741480;1731
œl¹skie;6267628;4082;2281428;1011;t24;2644285;462;19841;12;1322074;2597
œwiêtokrzyskie;1511046;852;554994;259;t26;647235;95;6244;1;302573;497
warmiñsko-mazurskie;1847544;1301;673791;349;t28;781994;134;10249;4;381510;814
wielkopolskie;5145248;3202;1893545;911;t30;2158782;307;19671;5;1073250;1979
zachodniopomorskie;2475930;1475;887631;388;t32;1054297;146;10376;5;523626;936
ca³y kraj;53088071;35065;19421257;9850;t00;22493385;3887;217595;154;10955834;21174
