wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;32249;1666;4633;603;t0
dolnoœl¹skie;1205450;32079;318880;12673;t02
kujawsko-pomorskie;748142;21891;187684;8617;t04
lubelskie;769904;19464;220497;9614;t06
lubuskie;391931;10374;103576;4324;t08
³ódzkie;979404;29792;254174;12320;t10
ma³opolskie;1183383;32992;308671;14085;t12
mazowieckie;2215272;57085;597687;26688;t14
opolskie;377219;11255;94512;3500;t16
podkarpackie;749060;16724;214844;7327;t18
podlaskie;486356;11460;130189;4776;t20
pomorskie;981522;28262;248887;10451;t22
œl¹skie;1707163;56065;421469;24758;t24
œwiêtokrzyskie;417853;11720;106131;4394;t26
warmiñsko-mazurskie;504781;13380;134796;5380;t28
wielkopolskie;1272853;38164;331586;14763;t30
zachodniopomorskie;682970;18602;162871;7267;t32
ca³y kraj;14705512;410975;3841087;171540;t00
