wojewodztwo;liczba_szczepien_ogolem;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;17171;1;1637;0;
dolnośląskie;871749;6564;220975;1704;t02
kujawsko-pomorskie;519196;3199;123091;240;t04
lubelskie;563362;1665;153783;197;t06
lubuskie;271149;1110;66119;246;t08
łódzkie;675498;3278;172378;579;t10
małopolskie;846414;5426;207186;796;t12
mazowieckie;1609127;9548;399266;1925;t14
opolskie;249358;551;66496;453;t16
podkarpackie;532005;3251;139226;463;t18
podlaskie;336709;636;90851;259;t20
pomorskie;664103;3230;174367;708;t22
śląskie;1168889;7382;273697;552;t24
świętokrzyskie;292014;1051;73056;246;t26
warmińsko-mazurskie;362572;1133;90278;31;t28
wielkopolskie;898071;4006;218048;340;t30
zachodniopomorskie;466580;2976;107790;281;t32
cały kraj;10343967;55007;2578244;9020;t00
