wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;645;0;133;0;t0
dolnoœl¹skie;1807164;13804;606529;6221;t02
kujawsko-pomorskie;1140587;14219;368852;4349;t04
lubelskie;1079872;8401;386711;3899;t06
lubuskie;606589;8295;203966;3412;t08
³ódzkie;1457891;17427;491123;7928;t10
ma³opolskie;1798421;28947;604603;10210;t12
mazowieckie;3400569;46347;1142642;16765;t14
opolskie;549681;6844;183760;4954;t16
podkarpackie;1050866;11736;389347;8654;t18
podlaskie;690123;3282;251368;1872;t20
pomorskie;1453493;16808;499923;7012;t22
œl¹skie;2657962;34510;889246;17229;t24
œwiêtokrzyskie;621101;8248;206288;4114;t26
warmiñsko-mazurskie;725833;6225;247157;2506;t28
wielkopolskie;1941366;25013;648505;9904;t30
zachodniopomorskie;1043708;11779;354098;5638;t32
ca³y kraj;22025871;261885;7474251;114667;t00
