wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;387;0;168;0;t0;186;0;0;0;33;0
dolnoœl¹skie;4246928;386;1537308;81;t02;1790102;52;16346;0;903172;253
kujawsko-pomorskie;2878639;193;1039110;75;t04;1214292;14;11762;0;613475;104
lubelskie;2451404;159;905813;66;t06;1049896;21;13178;0;482517;72
lubuskie;1481803;79;531868;23;t08;642009;4;5250;0;302676;52
³ódzkie;3467833;448;1274769;146;t10;1459166;43;18243;0;715655;259
ma³opolskie;4428609;574;1641925;173;t12;1890337;62;13589;40;882758;299
mazowieckie;8425887;1223;3066852;385;t14;3534711;175;39322;3;1785002;660
opolskie;1239668;129;458316;16;t16;527131;6;4898;0;249323;107
podkarpackie;2183183;60;826380;7;t18;965094;7;8184;0;383525;46
podlaskie;1491725;17;558928;1;t20;647535;0;5853;0;279409;16
pomorskie;3518074;431;1280760;115;t22;1483223;76;14456;2;739635;238
œl¹skie;6263306;576;2280343;219;t24;2643810;52;19829;1;1319324;304
œwiêtokrzyskie;1510139;142;554721;52;t26;647126;14;6243;0;302049;76
warmiñsko-mazurskie;1846121;50;673398;5;t28;781856;9;10243;0;380624;36
wielkopolskie;5141732;948;1892535;422;t30;2158420;106;19664;8;1071113;412
zachodniopomorskie;2474255;331;887186;146;t32;1054129;52;10371;0;522569;133
ca³y kraj;53049693;5746;19410380;1932;t00;22489023;693;217431;54;10932859;3067
