wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt;dawka_1_ogolem;dawka_1_dziennie;dawka_3_ogolem;dawka_3_dziennie;dawka_przypominajaca_ogolem;dawka_przypominajaca_dziennie
inne_puste_woj;6;0;1;0;t0;1;0;0;0;4;0
dolnoœl¹skie;4346386;194;1558803;9;t02;1799972;14;16787;7;970824;164
kujawsko-pomorskie;2936942;204;1053390;41;t04;1220123;22;11993;1;651436;140
lubelskie;2493135;106;916210;9;t06;1054962;1;13509;0;508454;96
lubuskie;1512383;126;539502;18;t08;645376;6;5395;0;322110;102
³ódzkie;3536811;149;1291965;12;t10;1466423;11;18796;0;759627;126
ma³opolskie;4537571;486;1662402;46;t12;1900355;37;14051;24;960763;379
mazowieckie;8620754;947;3108145;104;t14;3558751;111;40865;12;1912993;720
opolskie;1265576;34;464772;3;t16;530105;2;5034;0;265665;29
podkarpackie;2219119;148;834732;28;t18;969792;22;8449;0;406146;98
podlaskie;1516936;52;565027;6;t20;651170;6;6097;0;294642;40
pomorskie;3605567;340;1300524;52;t22;1492521;20;15017;0;797505;268
œl¹skie;6409321;632;2310798;60;t24;2658052;43;20551;0;1419920;529
œwiêtokrzyskie;1537449;53;561489;5;t26;650284;2;6245;0;319431;46
warmiñsko-mazurskie;1887319;87;684212;5;t28;786211;3;10521;0;406375;79
wielkopolskie;5316740;622;1920711;31;t30;2226956;251;20560;11;1148513;329
zachodniopomorskie;2525939;222;898882;36;t32;1059765;24;10586;2;556706;160
ca³y kraj;54267954;4402;19671565;465;t00;22670819;575;224456;57;11701114;3305
