wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;25;0;0;0;t0
dolnoœl¹skie;2768372;8540;1290879;5276;t02
kujawsko-pomorskie;1845149;7409;855842;4644;t04
lubelskie;1575429;5610;734946;3076;t06
lubuskie;933817;3101;437626;1788;t08
³ódzkie;2254807;7864;1056321;5241;t10
ma³opolskie;2907984;10618;1350375;7025;t12
mazowieckie;5362089;17071;2504901;11015;t14
opolskie;816939;1796;385493;1054;t16
podkarpackie;1464207;4561;685711;2336;t18
podlaskie;979440;2447;462058;1278;t20
pomorskie;2246122;7917;1055363;5180;t22
œl¹skie;4122488;11756;1922876;7318;t24
œwiêtokrzyskie;974143;4498;450339;2803;t26
warmiñsko-mazurskie;1159325;4846;541149;2924;t28
wielkopolskie;3234873;13846;1516637;9430;t30
zachodniopomorskie;1576129;5220;731297;3460;t32
ca³y kraj;34221338;117100;15981813;73848;t00
