wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;652;75;727;0.17;0.02;0.19;12;2;10;1236;50;0;11899;842;11041;16;t0000;2022-05-09
dolnoœl¹skie;boles³awiecki;2;0;2;0.22;0;0.22;0;0;0;2;0;0;23;3;20;0;t0201;2022-05-09
dolnoœl¹skie;dzier¿oniowski;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0202;2022-05-09
dolnoœl¹skie;g³ogowski;0;0;0;0;0;0;0;0;0;1;0;0;13;0;13;0;t0203;2022-05-09
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;3;0;0;6;0;6;0;t0204;2022-05-09
dolnoœl¹skie;jaworski;1;0;1;0.20;0;0.20;0;0;0;0;0;0;9;1;8;0;t0205;2022-05-09
dolnoœl¹skie;jeleniogórski;2;0;2;0.32;0;0.32;0;0;0;0;0;0;4;2;2;0;t0206;2022-05-09
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0207;2022-05-09
dolnoœl¹skie;k³odzki;5;1;6;0.32;0.06;0.38;1;0;1;3;0;0;36;8;28;0;t0208;2022-05-09
dolnoœl¹skie;legnicki;2;1;3;0.36;0.18;0.54;0;0;0;0;0;0;25;3;22;0;t0209;2022-05-09
dolnoœl¹skie;lubañski;1;0;1;0.18;0;0.18;0;0;0;0;0;0;4;1;3;0;t0210;2022-05-09
dolnoœl¹skie;lubiñski;4;0;4;0.38;0;0.38;0;0;0;2;0;0;22;4;18;0;t0211;2022-05-09
dolnoœl¹skie;lwówecki;1;0;1;0.22;0;0.22;0;0;0;1;0;0;25;2;23;0;t0212;2022-05-09
dolnoœl¹skie;milicki;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;t0213;2022-05-09
dolnoœl¹skie;oleœnicki;2;0;2;0.19;0;0.19;0;0;0;1;0;0;10;2;8;0;t0214;2022-05-09
dolnoœl¹skie;o³awski;0;1;1;0;0.13;0.13;0;0;0;0;0;0;9;1;8;0;t0215;2022-05-09
dolnoœl¹skie;polkowicki;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;t0216;2022-05-09
