wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;3760;405;4165;0.98;0.11;1.09;3;1;2;285;13157;48485;35871;4561;30907;403;t0000;2022-03-20
dolnoœl¹skie;boles³awiecki;5;1;6;0.56;0.11;0.67;0;0;0;0;27;101;42;9;31;2;t0201;2022-03-20
dolnoœl¹skie;dzier¿oniowski;3;0;3;0.30;0;0.30;0;0;0;2;10;59;37;3;34;0;t0202;2022-03-20
dolnoœl¹skie;g³ogowski;7;0;7;0.79;0;0.79;0;0;0;0;14;77;100;9;91;0;t0203;2022-03-20
dolnoœl¹skie;górowski;1;0;1;0.29;0;0.29;0;0;0;0;9;61;21;1;20;0;t0204;2022-03-20
dolnoœl¹skie;jaworski;5;0;5;1.00;0;1.00;0;0;0;0;5;54;31;5;26;0;t0205;2022-03-20
dolnoœl¹skie;jeleniogórski;6;1;7;0.95;0.16;1.10;0;0;0;0;7;57;35;8;27;0;t0206;2022-03-20
dolnoœl¹skie;kamiennogórski;0;1;1;0;0.23;0.23;0;0;0;0;1;20;13;1;12;0;t0207;2022-03-20
dolnoœl¹skie;k³odzki;7;2;9;0.45;0.13;0.57;0;0;0;32;15;153;125;9;116;0;t0208;2022-03-20
dolnoœl¹skie;legnicki;1;0;1;0.18;0;0.18;0;0;0;0;8;54;31;1;30;0;t0209;2022-03-20
dolnoœl¹skie;lubañski;9;1;10;1.66;0.18;1.85;0;0;0;0;15;56;28;10;18;0;t0210;2022-03-20
dolnoœl¹skie;lubiñski;16;2;18;1.51;0.19;1.70;0;0;0;0;9;131;88;20;66;2;t0211;2022-03-20
dolnoœl¹skie;lwówecki;4;0;4;0.87;0;0.87;0;0;0;0;13;53;32;6;26;0;t0212;2022-03-20
dolnoœl¹skie;milicki;3;0;3;0.81;0;0.81;0;0;0;0;11;34;21;3;17;1;t0213;2022-03-20
dolnoœl¹skie;oleœnicki;5;0;5;0.47;0;0.47;0;0;0;1;24;104;64;6;58;0;t0214;2022-03-20
dolnoœl¹skie;o³awski;4;0;4;0.52;0;0.52;0;0;0;0;22;73;56;4;52;0;t0215;2022-03-20
dolnoœl¹skie;polkowicki;1;0;1;0.16;0;0.16;0;0;0;0;11;91;48;2;45;1;t0216;2022-03-20
dolnoœl¹skie;strzeliñski;1;1;2;0.23;0.23;0.46;0;0;0;0;13;54;20;5;15;0;t0217;2022-03-20
dolnoœl¹skie;œredzki;3;0;3;0.54;0;0.54;0;0;0;0;10;91;38;3;33;2;t0218;2022-03-20
dolnoœl¹skie;œwidnicki;7;2;9;0.45;0.13;0.57;0;0;0;0;15;115;70;9;61;0;t0219;2022-03-20
dolnoœl¹skie;trzebnicki;3;0;3;0.35;0;0.35;0;0;0;0;27;103;66;4;62;0;t0220;2022-03-20
dolnoœl¹skie;wa³brzyski;3;0;3;0.54;0;0.54;0;0;0;0;9;30;17;3;14;0;t0221;2022-03-20
dolnoœl¹skie;wo³owski;6;0;6;1.28;0;1.28;0;0;0;1;15;80;43;6;37;0;t0222;2022-03-20
dolnoœl¹skie;wroc³awski;19;3;22;1.23;0.19;1.43;0;0;0;1;97;289;158;24;130;4;t0223;2022-03-20
dolnoœl¹skie;z¹bkowicki;2;0;2;0.31;0;0.31;0;0;0;0;9;44;34;2;30;2;t0224;2022-03-20
dolnoœl¹skie;zgorzelecki;10;0;10;1.13;0;1.13;0;0;0;1;20;167;45;12;32;1;t0225;2022-03-20
dolnoœl¹skie;z³otoryjski;3;0;3;0.69;0;0.69;0;0;0;0;8;52;22;3;19;0;t0226;2022-03-20
dolnoœl¹skie;Jelenia Góra;5;0;5;0.63;0;0.63;0;0;0;0;23;96;49;6;43;0;t0261;2022-03-20
dolnoœl¹skie;Legnica;9;3;12;0.91;0.30;1.21;0;0;0;0;61;149;57;12;45;0;t0262;2022-03-20
dolnoœl¹skie;Wroc³aw;129;13;142;2.00;0.20;2.21;0;0;0;7;387;1203;697;151;534;12;t0264;2022-03-20
dolnoœl¹skie;Wa³brzych;9;1;10;0.81;0.09;0.90;0;0;0;0;21;93;55;12;41;2;t0265;2022-03-20
kujawsko-pomorskie;aleksandrowski;4;0;4;0.73;0;0.73;1;0;1;0;18;70;37;4;33;0;t0401;2022-03-20
kujawsko-pomorskie;brodnicki;2;1;3;0.25;0.13;0.38;0;0;0;1;12;76;51;3;48;0;t0402;2022-03-20
kujawsko-pomorskie;bydgoski;11;1;12;0.92;0.08;1.00;0;0;0;5;62;156;96;12;82;2;t0403;2022-03-20
kujawsko-pomorskie;che³miñski;5;0;5;0.96;0;0.96;0;0;0;0;26;91;42;5;36;1;t0404;2022-03-20
kujawsko-pomorskie;golubsko-dobrzyñski;8;2;10;1.78;0.44;2.22;0;0;0;0;19;57;27;11;16;0;t0405;2022-03-20
kujawsko-pomorskie;grudzi¹dzki;10;0;10;2.49;0;2.49;0;0;0;0;24;67;36;11;25;0;t0406;2022-03-20
kujawsko-pomorskie;inowroc³awski;16;5;21;1.00;0.31;1.32;0;0;0;2;98;198;146;28;118;0;t0407;2022-03-20
kujawsko-pomorskie;lipnowski;5;0;5;0.76;0;0.76;0;0;0;0;25;80;36;5;31;0;t0408;2022-03-20
kujawsko-pomorskie;mogileñski;7;0;7;1.54;0;1.54;0;0;0;0;17;45;49;7;40;2;t0409;2022-03-20
kujawsko-pomorskie;nakielski;6;2;8;0.70;0.23;0.93;0;0;0;0;36;124;55;10;43;2;t0410;2022-03-20
kujawsko-pomorskie;radziejowski;3;0;3;0.75;0;0.75;0;0;0;0;11;44;20;3;16;1;t0411;2022-03-20
kujawsko-pomorskie;rypiñski;2;0;2;0.46;0;0.46;0;0;0;0;12;49;38;3;34;1;t0412;2022-03-20
kujawsko-pomorskie;sêpoleñski;0;0;0;0;0;0;0;0;0;0;8;22;11;0;11;0;t0413;2022-03-20
kujawsko-pomorskie;œwiecki;11;1;12;1.11;0.10;1.21;0;0;0;0;61;172;83;15;67;1;t0414;2022-03-20
kujawsko-pomorskie;toruñski;4;0;4;0.37;0;0.37;0;0;0;0;60;203;49;4;44;1;t0415;2022-03-20
kujawsko-pomorskie;tucholski;2;2;4;0.41;0.41;0.83;0;0;0;0;26;65;49;7;42;0;t0416;2022-03-20
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;0;0;0;0;0;19;52;16;0;16;0;t0417;2022-03-20
kujawsko-pomorskie;w³oc³awski;4;1;5;0.47;0.12;0.58;0;0;0;0;31;107;57;5;52;0;t0418;2022-03-20
kujawsko-pomorskie;¿niñski;5;0;5;0.71;0;0.71;0;0;0;0;23;89;62;5;56;1;t0419;2022-03-20
