wojewodztwo;powiat;liczba_nowych_zakazen;liczba_ponownych_zakazen;liczba_wszystkich_zakazen;liczba_nowych_zakazen_na_10_tys_mieszkancow;liczba_ponownych_zakazen_na_10_tys_mieszkancow;liczba_wszystkich_zakazen_na_10_tys_mieszkancow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;stan_rekordu_na
Ca³y kraj;Ca³y kraj;463;49;512;0.12;0.01;0.13;10;2;8;1014;27;0;10674;596;10059;19;t0000;2022-05-16
dolnoœl¹skie;boles³awiecki;0;0;0;0;0;0;0;0;0;2;0;0;14;0;14;0;t0201;2022-05-16
dolnoœl¹skie;dzier¿oniowski;2;0;2;0.20;0;0.20;0;0;0;0;0;0;7;2;5;0;t0202;2022-05-16
dolnoœl¹skie;g³ogowski;1;0;1;0.11;0;0.11;0;0;0;0;0;0;7;2;5;0;t0203;2022-05-16
dolnoœl¹skie;górowski;0;0;0;0;0;0;0;0;0;4;0;0;8;0;8;0;t0204;2022-05-16
dolnoœl¹skie;jaworski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0205;2022-05-16
dolnoœl¹skie;jeleniogórski;0;0;0;0;0;0;0;0;0;0;0;0;16;1;15;0;t0206;2022-05-16
dolnoœl¹skie;kamiennogórski;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0207;2022-05-16
dolnoœl¹skie;k³odzki;1;0;1;0.06;0;0.06;0;0;0;2;0;0;18;2;16;0;t0208;2022-05-16
dolnoœl¹skie;legnicki;1;0;1;0.18;0;0.18;0;0;0;0;0;0;6;1;5;0;t0209;2022-05-16
dolnoœl¹skie;lubañski;0;0;0;0;0;0;0;0;0;1;0;0;8;0;8;0;t0210;2022-05-16
dolnoœl¹skie;lubiñski;0;0;0;0;0;0;0;0;0;2;0;0;11;0;11;0;t0211;2022-05-16
dolnoœl¹skie;lwówecki;1;0;1;0.22;0;0.22;0;0;0;0;0;0;13;1;12;0;t0212;2022-05-16
dolnoœl¹skie;milicki;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;t0213;2022-05-16
dolnoœl¹skie;oleœnicki;0;0;0;0;0;0;0;0;0;3;0;0;25;0;25;0;t0214;2022-05-16
dolnoœl¹skie;o³awski;0;0;0;0;0;0;0;0;0;0;0;0;10;1;9;0;t0215;2022-05-16
dolnoœl¹skie;polkowicki;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;t0216;2022-05-16
dolnoœl¹skie;strzeliñski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0217;2022-05-16
dolnoœl¹skie;œredzki;1;0;1;0.18;0;0.18;0;0;0;1;0;0;7;2;5;0;t0218;2022-05-16
dolnoœl¹skie;œwidnicki;1;0;1;0.06;0;0.06;0;0;0;1;0;0;15;1;14;0;t0219;2022-05-16
dolnoœl¹skie;trzebnicki;0;0;0;0;0;0;0;0;0;0;0;0;14;0;14;0;t0220;2022-05-16
dolnoœl¹skie;wa³brzyski;0;0;0;0;0;0;0;0;0;1;1;0;5;1;4;0;t0221;2022-05-16
dolnoœl¹skie;wo³owski;1;0;1;0.21;0;0.21;0;0;0;0;0;0;8;1;7;0;t0222;2022-05-16
dolnoœl¹skie;wroc³awski;6;1;7;0.39;0.06;0.45;0;0;0;14;0;0;57;7;50;0;t0223;2022-05-16
dolnoœl¹skie;z¹bkowicki;0;0;0;0;0;0;0;0;0;1;0;0;7;0;7;0;t0224;2022-05-16
dolnoœl¹skie;zgorzelecki;0;0;0;0;0;0;0;0;0;4;0;0;7;0;7;0;t0225;2022-05-16
dolnoœl¹skie;z³otoryjski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0226;2022-05-16
dolnoœl¹skie;Jelenia Góra;1;0;1;0.13;0;0.13;0;0;0;3;0;0;10;1;9;0;t0261;2022-05-16
dolnoœl¹skie;Legnica;0;0;0;0;0;0;0;0;0;1;3;0;15;0;15;0;t0262;2022-05-16
dolnoœl¹skie;Wroc³aw;10;3;13;0.16;0.05;0.20;0;0;0;24;1;0;184;15;169;0;t0264;2022-05-16
dolnoœl¹skie;Wa³brzych;1;0;1;0.09;0;0.09;0;0;0;1;1;0;11;1;10;0;t0265;2022-05-16
kujawsko-pomorskie;aleksandrowski;1;0;1;0.18;0;0.18;0;0;0;0;0;0;10;3;7;0;t0401;2022-05-16
kujawsko-pomorskie;brodnicki;0;0;0;0;0;0;0;0;0;0;0;0;13;1;12;0;t0402;2022-05-16
kujawsko-pomorskie;bydgoski;0;0;0;0;0;0;0;0;0;2;0;0;11;0;11;0;t0403;2022-05-16
kujawsko-pomorskie;che³miñski;0;0;0;0;0;0;0;0;0;1;0;0;11;0;11;0;t0404;2022-05-16
kujawsko-pomorskie;golubsko-dobrzyñski;2;0;2;0.44;0;0.44;0;0;0;5;0;0;13;3;10;0;t0405;2022-05-16
kujawsko-pomorskie;grudzi¹dzki;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0406;2022-05-16
kujawsko-pomorskie;inowroc³awski;4;0;4;0.25;0;0.25;0;0;0;8;0;0;32;6;26;0;t0407;2022-05-16
kujawsko-pomorskie;lipnowski;0;0;0;0;0;0;0;0;0;1;0;0;12;0;12;0;t0408;2022-05-16
kujawsko-pomorskie;mogileñski;0;0;0;0;0;0;0;0;0;0;0;0;15;0;15;0;t0409;2022-05-16
kujawsko-pomorskie;nakielski;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;t0410;2022-05-16
kujawsko-pomorskie;radziejowski;2;0;2;0.50;0;0.50;0;0;0;3;0;0;5;2;3;0;t0411;2022-05-16
kujawsko-pomorskie;rypiñski;1;0;1;0.23;0;0.23;0;0;0;3;0;0;7;1;6;0;t0412;2022-05-16
kujawsko-pomorskie;sêpoleñski;0;0;0;0;0;0;0;0;0;1;0;0;3;0;3;0;t0413;2022-05-16
kujawsko-pomorskie;œwiecki;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;t0414;2022-05-16
kujawsko-pomorskie;toruñski;0;0;0;0;0;0;0;0;0;2;0;0;8;0;8;0;t0415;2022-05-16
kujawsko-pomorskie;tucholski;1;0;1;0.21;0;0.21;0;0;0;0;0;0;6;1;5;0;t0416;2022-05-16
kujawsko-pomorskie;w¹brzeski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0417;2022-05-16
kujawsko-pomorskie;w³oc³awski;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t0418;2022-05-16
kujawsko-pomorskie;¿niñski;0;0;0;0;0;0;0;0;0;2;0;0;18;0;18;0;t0419;2022-05-16
kujawsko-pomorskie;Bydgoszcz;3;1;4;0.09;0.03;0.12;0;0;0;10;0;0;47;4;43;0;t0461;2022-05-16
kujawsko-pomorskie;Grudzi¹dz;0;0;0;0;0;0;0;0;0;1;0;0;8;0;8;0;t0462;2022-05-16
kujawsko-pomorskie;Toruñ;0;1;1;0;0.05;0.05;0;0;0;3;0;0;26;3;22;1;t0463;2022-05-16
kujawsko-pomorskie;W³oc³awek;1;0;1;0.09;0;0.09;0;0;0;0;0;0;28;1;27;0;t0464;2022-05-16
lubelskie;bialski;3;0;3;0.27;0;0.27;0;0;0;4;0;0;25;4;21;0;t0601;2022-05-16
lubelskie;bi³gorajski;2;0;2;0.20;0;0.20;0;0;0;1;0;0;33;3;30;0;t0602;2022-05-16
lubelskie;che³mski;2;0;2;0.26;0;0.26;0;0;0;2;0;0;41;3;38;0;t0603;2022-05-16
lubelskie;hrubieszowski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t0604;2022-05-16
lubelskie;janowski;0;0;0;0;0;0;0;0;0;4;0;0;11;1;10;0;t0605;2022-05-16
lubelskie;krasnostawski;2;0;2;0.32;0;0.32;0;0;0;1;0;0;141;2;139;0;t0606;2022-05-16
lubelskie;kraœnicki;3;0;3;0.32;0;0.32;0;0;0;3;0;0;21;3;18;0;t0607;2022-05-16
lubelskie;lubartowski;1;0;1;0.11;0;0.11;0;0;0;2;0;0;25;1;24;0;t0608;2022-05-16
lubelskie;lubelski;2;0;2;0.13;0;0.13;0;0;0;3;0;0;78;3;75;0;t0609;2022-05-16
lubelskie;³êczyñski;0;0;0;0;0;0;0;0;0;0;0;0;15;0;15;0;t0610;2022-05-16
lubelskie;³ukowski;0;0;0;0;0;0;0;0;0;3;0;0;19;0;19;0;t0611;2022-05-16
lubelskie;opolski;0;0;0;0;0;0;0;0;0;0;0;0;24;1;23;0;t0612;2022-05-16
lubelskie;parczewski;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t0613;2022-05-16
lubelskie;pu³awski;0;0;0;0;0;0;0;0;0;5;1;0;42;0;42;0;t0614;2022-05-16
lubelskie;radzyñski;0;0;0;0;0;0;0;0;0;1;0;0;15;0;15;0;t0615;2022-05-16
lubelskie;rycki;0;0;0;0;0;0;0;0;0;3;1;0;16;0;16;0;t0616;2022-05-16
lubelskie;œwidnicki;5;0;5;0.70;0;0.70;0;0;0;12;0;0;46;8;38;0;t0617;2022-05-16
lubelskie;tomaszowski;0;0;0;0;0;0;0;0;0;1;1;0;18;0;18;0;t0618;2022-05-16
lubelskie;w³odawski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0619;2022-05-16
lubelskie;zamojski;1;0;1;0.09;0;0.09;0;0;0;1;0;0;17;1;16;0;t0620;2022-05-16
lubelskie;Bia³a Podlaska;3;0;3;0.52;0;0.52;0;0;0;3;0;0;21;3;18;0;t0661;2022-05-16
lubelskie;Che³m;1;0;1;0.16;0;0.16;0;0;0;0;0;0;20;1;19;0;t0662;2022-05-16
lubelskie;Lublin;12;1;13;0.35;0.03;0.38;0;0;0;13;0;0;215;13;202;0;t0663;2022-05-16
lubelskie;Zamoœæ;2;0;2;0.32;0;0.32;0;0;0;6;0;0;19;3;16;0;t0664;2022-05-16
lubuskie;gorzowski;0;0;0;0;0;0;0;0;0;2;0;0;11;0;11;0;t0801;2022-05-16
lubuskie;kroœnieñski;0;0;0;0;0;0;0;0;0;0;0;0;7;0;7;0;t0802;2022-05-16
lubuskie;miêdzyrzecki;0;1;1;0;0.17;0.17;0;0;0;0;0;0;10;1;9;0;t0803;2022-05-16
lubuskie;nowosolski;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t0804;2022-05-16
lubuskie;s³ubicki;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t0805;2022-05-16
lubuskie;strzelecko-drezdenecki;2;0;2;0.41;0;0.41;0;0;0;3;0;0;9;2;7;0;t0806;2022-05-16
lubuskie;sulêciñski;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t0807;2022-05-16
lubuskie;œwiebodziñski;0;0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;t0808;2022-05-16
lubuskie;zielonogórski;0;0;0;0;0;0;1;0;1;1;0;0;11;0;11;0;t0809;2022-05-16
lubuskie;¿agañski;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t0810;2022-05-16
lubuskie;¿arski;0;0;0;0;0;0;0;0;0;1;0;0;15;1;14;0;t0811;2022-05-16
lubuskie;wschowski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t0812;2022-05-16
lubuskie;Gorzów Wielkopolski;2;0;2;0.16;0;0.16;1;1;0;2;0;0;20;3;17;0;t0861;2022-05-16
lubuskie;Zielona Góra;1;0;1;0.07;0;0.07;1;0;1;1;0;0;24;1;23;0;t0862;2022-05-16
³ódzkie;be³chatowski;2;0;2;0.18;0;0.18;0;0;0;2;1;0;24;2;22;0;t1001;2022-05-16
³ódzkie;kutnowski;1;0;1;0.10;0;0.10;0;0;0;8;0;0;19;1;18;0;t1002;2022-05-16
³ódzkie;³aski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t1003;2022-05-16
³ódzkie;³êczycki;0;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;t1004;2022-05-16
³ódzkie;³owicki;1;0;1;0.13;0;0.13;0;0;0;1;0;0;13;1;12;0;t1005;2022-05-16
³ódzkie;³ódzki wschodni;0;0;0;0;0;0;0;0;0;0;0;0;21;0;21;0;t1006;2022-05-16
³ódzkie;opoczyñski;0;0;0;0;0;0;0;0;0;5;0;0;19;0;19;0;t1007;2022-05-16
³ódzkie;pabianicki;2;0;2;0.17;0;0.17;0;0;0;1;0;0;36;2;34;0;t1008;2022-05-16
³ódzkie;pajêczañski;1;0;1;0.20;0;0.20;0;0;0;0;0;0;18;1;17;0;t1009;2022-05-16
³ódzkie;piotrkowski;0;0;0;0;0;0;0;0;0;0;0;0;55;0;54;1;t1010;2022-05-16
³ódzkie;poddêbicki;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;t1011;2022-05-16
³ódzkie;radomszczañski;0;0;0;0;0;0;0;0;0;4;0;0;17;0;17;0;t1012;2022-05-16
³ódzkie;rawski;0;0;0;0;0;0;0;0;0;4;0;0;5;0;5;0;t1013;2022-05-16
³ódzkie;sieradzki;2;0;2;0.17;0;0.17;0;0;0;3;0;0;24;2;22;0;t1014;2022-05-16
³ódzkie;skierniewicki;1;0;1;0.26;0;0.26;0;0;0;1;0;0;4;1;3;0;t1015;2022-05-16
³ódzkie;tomaszowski;1;0;1;0.09;0;0.09;0;0;0;1;0;0;16;1;15;0;t1016;2022-05-16
³ódzkie;wieluñski;0;1;1;0;0.13;0.13;0;0;0;0;0;0;24;2;22;0;t1017;2022-05-16
³ódzkie;wieruszowski;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;t1018;2022-05-16
³ódzkie;zduñskowolski;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;t1019;2022-05-16
³ódzkie;zgierski;2;0;2;0.12;0;0.12;0;0;0;4;0;0;29;3;26;0;t1020;2022-05-16
³ódzkie;brzeziñski;0;0;0;0;0;0;0;0;0;0;0;0;15;0;15;0;t1021;2022-05-16
³ódzkie;£ódŸ;9;3;12;0.13;0.04;0.18;0;0;0;16;2;0;196;15;180;1;t1061;2022-05-16
³ódzkie;Piotrków Trybunalski;0;0;0;0;0;0;0;0;0;1;0;0;10;0;10;0;t1062;2022-05-16
³ódzkie;Skierniewice;1;0;1;0.21;0;0.21;0;0;0;2;0;0;8;1;7;0;t1063;2022-05-16
ma³opolskie;bocheñski;4;0;4;0.37;0;0.37;0;0;0;15;0;0;37;5;32;0;t1201;2022-05-16
ma³opolskie;brzeski;1;0;1;0.11;0;0.11;0;0;0;11;0;0;25;1;24;0;t1202;2022-05-16
ma³opolskie;chrzanowski;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;0;t1203;2022-05-16
ma³opolskie;d¹browski;0;0;0;0;0;0;0;0;0;2;0;0;12;0;12;0;t1204;2022-05-16
ma³opolskie;gorlicki;0;0;0;0;0;0;0;0;0;1;0;0;17;0;17;0;t1205;2022-05-16
ma³opolskie;krakowski;4;0;4;0.14;0;0.14;0;0;0;13;0;0;111;4;107;0;t1206;2022-05-16
